Município,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,Total
350010 Adamantina,487,383,432,437,436,293,2468
350050 Águas de Lindóia,94,112,91,116,141,102,656
350070 Agudos,125,95,124,117,97,99,657
350100 Altinópolis,100,74,88,86,107,73,528
350110 Alto Alegre,2,5,5,4,4,3,23
350130 Álvares Machado,23,23,30,28,34,25,163
350160 Americana,556,468,482,561,584,686,3337
350170 Américo Brasiliense,620,385,638,559,543,208,2953
350190 Amparo,485,424,596,545,531,419,3000
350210 Andradina,276,236,275,231,253,192,1463
350220 Angatuba,112,102,95,108,112,72,601
350250 Aparecida,251,175,248,108,163,96,1041
350260 Aparecida d'Oeste,6,9,7,6,13,4,45
350270 Apiaí,223,228,207,193,163,145,1159
350280 Araçatuba,949,1000,1021,943,908,744,5565
350320 Araraquara,1111,955,1241,918,1076,1033,6334
350330 Araras,617,644,633,589,614,532,3629
350340 Arealva,13,7,11,9,9,2,51
350390 Arujá,97,67,81,83,103,95,526
350400 Assis,799,797,760,780,810,416,4362
350410 Atibaia,321,344,287,296,270,265,1783
350420 Auriflama,101,110,105,64,98,60,538
350450 Avaré,510,668,670,707,563,458,3576
350490 Bananal,-,-,1,-,-,-,1
350520 Bariri,148,170,122,116,170,130,856
350530 Barra Bonita,140,169,164,188,-,-,661
350550 Barretos,2174,2089,2305,2310,2413,1958,13249
350570 Barueri,2536,2384,2632,2421,2489,1446,13908
350580 Bastos,113,134,138,209,270,70,934
350590 Batatais,279,320,333,370,366,282,1950
350600 Bauru,3561,3119,3083,3105,2848,1880,17596
350610 Bebedouro,274,202,213,284,210,140,1323
350630 Bernardino de Campos,52,49,48,40,47,26,262
350635 Bertioga,257,261,278,249,227,183,1455
350640 Bilac,8,3,6,8,7,-,32
350650 Birigui,413,472,370,390,423,321,2389
350670 Boa Esperança do Sul,2,-,-,-,-,1,3
350680 Bocaina,11,13,16,14,16,14,84
350700 Boituva,166,179,162,168,168,142,985
350710 Bom Jesus dos Perdões,5,9,8,6,7,3,38
350740 Borborema,54,61,50,46,54,30,295
350750 Botucatu,2267,1997,2062,2415,2377,1826,12944
350760 Bragança Paulista,1330,1277,1313,1233,1225,981,7359
350790 Brotas,59,105,63,48,46,65,386
350810 Buritama,78,64,69,43,13,-,267
350840 Cabreúva,34,40,25,26,40,39,204
350850 Caçapava,221,121,84,311,114,396,1247
350860 Cachoeira Paulista,63,54,47,37,39,26,266
350870 Caconde,133,125,154,151,131,88,782
350880 Cafelândia,58,64,71,60,68,51,372
350900 Caieiras,285,335,338,340,277,416,1991
350920 Cajamar,122,95,175,47,124,95,658
350930 Cajobi,44,23,31,39,-,-,137
350940 Cajuru,218,254,190,238,204,180,1284
350950 Campinas,6424,6009,6691,6684,6463,5628,37899
350960 Campo Limpo Paulista,263,201,221,232,264,176,1357
350970 Campos do Jordão,358,362,341,301,286,261,1909
351000 Cândido Mota,81,89,93,83,100,82,528
351020 Capão Bonito,239,186,233,178,201,142,1179
351040 Capivari,179,204,174,157,195,149,1058
351050 Caraguatatuba,816,862,875,850,902,780,5085
351060 Carapicuíba,1617,1770,1455,1456,1486,1046,8830
351070 Cardoso,35,38,41,36,34,13,197
351080 Casa Branca,297,294,271,282,267,235,1646
351100 Castilho,9,26,47,26,47,17,172
351110 Catanduva,1362,1417,1466,1406,1293,1248,8192
351140 Cerqueira César,101,79,53,50,71,52,406
351150 Cerquilho,55,114,77,81,91,43,461
351160 Cesário Lange,27,19,32,42,26,22,168
351170 Charqueada,50,48,36,50,29,22,235
355720 Chavantes,81,92,93,76,78,66,486
351190 Clementina,27,24,28,16,20,25,140
351200 Colina,68,54,42,27,53,54,298
351210 Colômbia,3,1,5,5,-,-,14
351220 Conchal,160,162,131,135,145,95,828
351280 Cosmópolis,85,101,100,100,115,22,523
351300 Cotia,1222,1203,1131,1108,1161,871,6696
351310 Cravinhos,31,-,-,-,-,-,31
351340 Cruzeiro,404,402,439,431,435,319,2430
351350 Cubatão,434,413,386,402,487,371,2493
351360 Cunha,143,125,110,122,103,47,650
351370 Descalvado,104,195,91,71,138,86,685
351380 Diadema,1996,1895,2533,1894,2132,1707,12157
351390 Divinolândia,354,311,383,375,359,178,1960
351410 Dois Córregos,121,105,95,94,115,108,638
351440 Dracena,273,298,241,296,283,180,1571
351450 Duartina,94,101,92,100,134,95,616
351500 Embu das Artes,272,429,348,315,249,187,1800
351510 Embu-Guaçu,64,60,40,58,74,40,336
351518 Espírito Santo do Pinhal,579,515,555,575,494,391,3109
351520 Estrela d'Oeste,59,51,54,74,48,16,302
351540 Fartura,84,70,73,75,49,38,389
351550 Fernandópolis,414,301,305,325,413,289,2047
351570 Ferraz de Vasconcelos,755,738,765,748,802,390,4198
351600 Flórida Paulista,80,89,82,96,85,29,461
351620 Franca,1918,1915,1938,1921,1938,1181,10811
351630 Francisco Morato,634,640,602,620,714,616,3826
351640 Franco da Rocha,635,608,616,575,582,409,3425
351660 Gália,2,4,2,5,4,-,17
351670 Garça,299,276,329,334,351,306,1895
351690 General Salgado,49,52,49,54,33,46,283
351740 Guaíra,152,156,145,135,175,101,864
351760 Guapiara,96,74,105,51,45,95,466
351770 Guará,20,25,28,-,-,-,73
351780 Guaraçaí,32,26,31,16,19,-,124
351820 Guararapes,138,100,126,137,102,109,712
351830 Guararema,97,100,86,89,83,84,539
351840 Guaratinguetá,709,670,609,541,617,426,3572
351860 Guariba,88,112,95,115,133,-,543
351870 Guarujá,988,923,996,965,980,800,5652
351880 Guarulhos,4990,5336,5275,4941,4871,3967,29380
351900 Herculândia,76,76,55,74,96,57,434
351907 Hortolândia,345,467,517,461,404,377,2571
351910 Iacanga,21,25,11,19,25,-,101
351930 Ibaté,77,79,77,72,52,55,412
351940 Ibirá,44,16,31,33,20,4,148
351960 Ibitinga,366,414,344,338,312,279,2053
351970 Ibiúna,86,31,88,81,115,127,528
351990 Iepê,49,52,40,53,46,-,240
352010 Igarapava,110,161,180,94,131,75,751
352044 Ilha Solteira,169,163,177,138,174,103,924
352040 Ilhabela,224,214,290,171,223,-,1122
352050 Indaiatuba,932,915,1263,998,964,681,5753
352070 Indiaporã,35,27,31,19,31,17,160
352090 Ipaussu,46,40,47,55,-,-,188
352130 Ipuã,15,27,23,19,-,-,84
352170 Itaberá,27,2,18,39,36,14,136
352180 Itaí,12,6,20,16,21,35,110
352190 Itajobi,24,39,33,34,14,9,153
352210 Itanhaém,790,791,953,896,912,669,5011
352220 Itapecerica da Serra,1470,1428,1550,1572,1430,1157,8607
352230 Itapetininga,687,730,624,622,653,488,3804
352240 Itapeva,650,689,602,619,622,533,3715
352250 Itapevi,1403,1314,1635,951,1723,729,7755
352260 Itapira,1001,1008,956,956,892,690,5503
352270 Itápolis,286,251,261,242,262,209,1511
352280 Itaporanga,127,128,105,102,119,105,686
352290 Itapuí,15,23,19,17,15,-,89
352310 Itaquaquecetuba,1179,980,1419,1143,1192,892,6805
352320 Itararé,384,317,350,313,288,-,1652
352340 Itatiba,412,338,333,348,361,255,2047
352350 Itatinga,40,28,29,22,36,-,155
352360 Itirapina,21,14,8,4,35,15,97
352390 Itu,612,720,772,783,737,610,4234
352400 Itupeva,101,67,150,91,74,100,583
352410 Ituverava,312,266,259,292,283,184,1596
352420 Jaborandi,5,8,7,7,1,2,30
352430 Jaboticabal,185,215,216,227,189,191,1223
352440 Jacareí,1019,1026,970,958,1005,829,5807
352450 Jaci,158,164,172,176,168,146,984
352470 Jaguariúna,261,256,295,231,237,129,1409
352480 Jales,645,598,635,562,562,444,3446
352520 Jarinu,37,58,24,43,26,45,233
352530 Jaú,2160,2160,2150,2159,2160,1692,12481
352550 Joanópolis,13,12,14,15,16,9,79
352570 José Bonifácio,105,89,85,78,52,31,440
352590 Jundiaí,3476,3332,3565,3270,3247,2539,19429
352600 Junqueirópolis,100,135,103,92,117,82,629
352640 Laranjal Paulista,112,103,118,123,97,82,635
352670 Leme,391,382,377,378,393,331,2252
352680 Lençóis Paulista,154,178,136,154,173,124,919
352690 Limeira,1211,1255,1112,1210,1159,990,6937
352710 Lins,592,639,623,610,664,574,3702
352720 Lorena,469,452,489,469,492,447,2818
352730 Louveira,277,246,266,267,220,134,1410
352740 Lucélia,41,31,34,70,48,42,266
352800 Macatuba,74,60,80,44,43,37,338
352810 Macaubal,6,4,5,2,5,1,23
352850 Mairiporã,193,194,209,193,177,115,1081
352880 Maracaí,56,37,52,68,56,30,299
352900 Marília,2438,2215,1984,2051,2126,1505,12319
352920 Martinópolis,63,91,77,86,97,41,455
352930 Matão,460,482,541,443,406,379,2711
352940 Mauá,1080,1025,1093,1082,1048,896,6224
352970 Miguelópolis,87,80,93,97,99,-,456
353010 Mirandópolis,398,295,287,226,346,273,1825
353030 Mirassol,152,95,239,193,167,116,962
353050 Mococa,425,469,428,388,433,368,2511
353060 Mogi das Cruzes,2836,2798,2935,2929,2859,1948,16305
353070 Mogi Guaçu,839,621,738,770,848,605,4421
353080 Mogi Mirim,373,384,380,391,377,291,2196
353110 Mongaguá,50,49,56,37,46,25,263
353130 Monte Alto,176,209,170,120,162,94,931
353140 Monte Aprazível,243,214,253,223,238,196,1367
353150 Monte Azul Paulista,104,153,143,102,142,84,728
353180 Monte Mor,129,125,118,104,115,108,699
353190 Morro Agudo,78,119,120,107,111,89,624
353200 Morungaba,7,13,13,16,13,-,62
353240 Nazaré Paulista,42,31,32,39,26,-,170
353250 Neves Paulista,9,5,6,11,4,4,39
353260 Nhandeara,132,106,137,134,98,63,670
353290 Nova Europa,36,24,18,-,-,-,78
353300 Nova Granada,148,117,131,105,131,91,723
353340 Nova Odessa,121,98,100,114,110,96,639
353350 Novo Horizonte,198,175,193,177,177,129,1049
353390 Olímpia,213,270,228,257,235,192,1395
353430 Orlândia,274,273,254,255,263,193,1512
353440 Osasco,2017,2064,1913,1700,2439,2011,12144
353460 Osvaldo Cruz,181,165,177,185,167,121,996
353470 Ourinhos,647,708,790,791,604,763,4303
353475 Ouroeste,36,15,30,27,31,-,139
353490 Pacaembu,22,22,25,28,30,16,143
353520 Palmeira d'Oeste,66,45,71,65,45,13,305
353530 Palmital,98,77,76,110,99,63,523
353540 Panorama,53,60,47,59,57,-,276
353550 Paraguaçu Paulista,254,277,222,233,246,164,1396
353580 Paranapanema,10,2,6,12,-,-,30
353600 Parapuã,49,58,63,62,58,-,290
353620 Pariquera-Açu,795,799,888,727,752,583,4544
353630 Patrocínio Paulista,74,77,58,96,69,64,438
353650 Paulínia,451,391,445,392,-,-,1679
353660 Paulo de Faria,6,1,1,2,3,-,13
353670 Pederneiras,171,187,109,160,142,132,901
353700 Pedregulho,67,58,74,77,69,60,405
353710 Pedreira,130,77,55,100,59,81,502
353730 Penápolis,391,397,393,413,439,-,2033
353740 Pereira Barreto,124,69,113,126,115,71,618
353780 Piedade,151,146,143,160,172,116,888
353790 Pilar do Sul,104,92,79,89,78,82,524
353800 Pindamonhangaba,685,691,710,586,605,428,3705
353860 Piracaia,19,24,29,17,25,11,125
353870 Piracicaba,2250,2438,2477,2247,2183,1684,13279
353880 Piraju,178,135,202,184,156,122,977
353890 Pirajuí,87,78,68,97,83,64,477
353900 Pirangi,58,59,56,48,46,-,267
353930 Pirassununga,188,180,212,162,186,-,928
353940 Piratininga,23,16,19,18,18,13,107
353950 Pitangueiras,155,119,87,103,111,120,695
353980 Poá,104,101,43,119,-,-,367
354000 Pompéia,26,3,38,25,34,26,152
354020 Pontal,75,102,81,128,102,59,547
354040 Populina,19,12,35,21,25,-,112
354060 Porto Feliz,222,210,236,209,223,146,1246
354070 Porto Ferreira,227,194,201,178,186,141,1127
354080 Potirendaba,28,36,22,26,23,21,156
354100 Praia Grande,623,657,702,637,675,581,3875
354120 Presidente Bernardes,113,50,117,-,-,-,280
354130 Presidente Epitácio,196,80,467,241,19,331,1334
354140 Presidente Prudente,3172,3019,3155,3269,3160,2258,18033
354150 Presidente Venceslau,180,201,163,170,152,112,978
354160 Promissão,343,280,238,290,251,119,1521
354190 Queluz,21,15,19,11,-,-,66
354220 Rancharia,272,304,269,273,386,224,1728
354240 Regente Feijó,39,24,5,57,30,19,174
354260 Registro,613,590,622,509,551,347,3232
354290 Ribeirão Bonito,22,22,20,18,32,-,114
354300 Ribeirão Branco,60,67,50,41,46,23,287
354330 Ribeirão Pires,172,141,229,178,107,225,1052
354340 Ribeirão Preto,6470,6094,6600,6393,6105,5361,37023
354380 Rinópolis,25,24,23,23,-,-,95
354390 Rio Claro,697,678,731,748,717,582,4153
354400 Rio das Pedras,61,72,71,74,53,31,362
354420 Riolândia,4,3,4,8,8,4,31
354425 Rosana,292,266,293,303,264,189,1607
354490 Sales Oliveira,23,8,17,16,28,17,109
354500 Salesópolis,13,11,17,18,10,15,84
354520 Salto,319,339,273,302,295,325,1853
354530 Salto de Pirapora,113,118,118,119,126,83,677
354540 Salto Grande,68,79,66,4,117,-,334
354560 Santa Adélia,19,6,12,13,14,4,68
354580 Santa Bárbara d'Oeste,567,536,632,608,610,383,3336
354630 Santa Cruz das Palmeiras,112,147,99,116,122,120,716
354640 Santa Cruz do Rio Pardo,293,290,224,323,262,235,1627
354660 Santa Fé do Sul,222,214,257,217,209,161,1280
354680 Santa Isabel,203,181,184,177,192,143,1080
354750 Santa Rita do Passa Quatro,282,264,250,280,280,219,1575
354760 Santa Rosa de Viterbo,84,70,57,56,77,58,402
354730 Santana de Parnaíba,30,189,275,243,284,367,1388
354770 Santo Anastácio,160,161,150,171,156,75,873
354780 Santo André,3771,3423,3694,3602,3818,2514,20822
354790 Santo Antônio da Alegria,7,3,11,7,9,3,40
354850 Santos,2416,2461,2262,2426,2276,2057,13898
354860 São Bento do Sapucaí,89,43,44,37,23,14,250
354870 São Bernardo do Campo,2862,2489,2943,3428,2953,2208,16883
354880 São Caetano do Sul,755,869,717,669,647,453,4110
354890 São Carlos,1122,1088,1237,1201,1257,997,6902
354910 São João da Boa Vista,573,405,641,603,489,344,3055
354940 São Joaquim da Barra,253,237,246,228,238,173,1375
354970 São José do Rio Pardo,401,393,394,373,441,314,2316
354980 São José do Rio Preto,5712,5258,5727,5364,5356,4594,32011
354990 São José dos Campos,4368,3626,4006,3995,4020,2678,22693
355000 São Luís do Paraitinga,8,3,6,8,17,8,50
355010 São Manuel,88,70,74,100,95,67,494
355020 São Miguel Arcanjo,113,95,108,113,89,33,551
355030 São Paulo,56609,54991,58898,54399,57241,40810,322948
355040 São Pedro,149,136,147,175,133,95,835
355060 São Roque,281,343,251,204,305,222,1606
355070 São Sebastião,383,319,427,428,389,310,2256
355080 São Sebastião da Grama,55,63,61,64,51,-,294
355090 São Simão,27,24,54,56,43,32,236
355100 São Vicente,827,747,862,800,650,569,4455
355160 Serra Negra,78,113,94,91,72,-,448
355150 Serrana,295,275,343,359,291,163,1726
355170 Sertãozinho,567,582,616,635,554,409,3363
355200 Silveiras,2,5,1,1,3,2,14
355210 Socorro,179,719,189,124,232,133,1576
355220 Sorocaba,4590,4629,4674,4485,4279,3431,26088
355230 Sud Mennucci,18,12,19,-,-,-,49
355240 Sumaré,1343,1217,1205,1265,1185,659,6874
355250 Suzano,408,436,463,420,422,397,2546
355260 Tabapuã,42,64,42,18,70,13,249
355270 Tabatinga,58,63,47,37,40,-,245
355280 Taboão da Serra,1870,1484,2010,1528,1743,1295,9930
355300 Taguaí,66,46,42,42,39,42,277
355330 Tambaú,79,86,88,82,103,71,509
355340 Tanabi,138,125,121,99,97,52,632
355360 Tapiratiba,22,17,17,13,17,12,98
355370 Taquaritinga,379,346,414,368,373,245,2125
355380 Taquarituba,154,154,189,-,-,-,497
355400 Tatuí,385,397,418,428,409,362,2399
355410 Taubaté,1772,1552,1701,1630,1625,1202,9482
355430 Teodoro Sampaio,145,170,178,189,195,154,1031
355440 Terra Roxa,32,29,22,21,29,29,162
355450 Tietê,145,158,135,171,139,134,882
355500 Tupã,743,685,766,722,751,700,4367
355510 Tupi Paulista,84,76,118,114,108,65,565
355540 Ubatuba,302,300,350,385,302,303,1942
355580 Urânia,10,19,28,20,25,20,122
355600 Urupês,22,37,45,42,36,1,183
355620 Valinhos,267,257,309,299,307,236,1675
355630 Valparaíso,91,98,71,76,97,-,433
355640 Vargem Grande do Sul,41,118,189,176,119,140,783
355650 Várzea Paulista,51,47,62,52,52,39,303
355670 Vinhedo,480,402,383,407,400,207,2279
355680 Viradouro,37,48,30,41,41,22,219
355700 Votorantim,317,260,240,273,303,175,1568
355710 Votuporanga,748,806,901,786,812,668,4721
Total,211602,204288,215745,205248,207489,155434,1199806
